uuid;name;shortname;synonym-1;description;reference-term-source;reference-term-code;reference-term-relationship;class;datatype;is-set;member-of;member-of-sort-weight;answer-of;answer-of-sort-weight
;Change of Cast from Upper Arm, Right;;;Change: (Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane) of Cast from Upper Arm, Right;ICD10 PCS-BD;2W0AX2Z;SAME-AS;Procedure;N/A;;;;;
;Change of Cast from Upper Arm, Left ;;;Change: (Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane) of Cast from Upper Arm, Left ;ICD10 PCS-BD;2W0BX2Z;SAME-AS;Procedure;N/A;;;;;
;Change of Cast from Lower Arm, Right ;;;Change: (Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane) of Cast from Lower Arm, Right ;ICD10 PCS-BD;2W0CX2Z;SAME-AS;Procedure;N/A;;;;;
;Change of Cast from Lower Arm, Left ;;;Change: (Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane) of Cast from Lower Arm, Left ;ICD10 PCS-BD;2W0DX2Z;SAME-AS;Procedure;N/A;;;;;
;Change of Cast from Hand, Right ;;;Change: (Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane) of Cast from Hand, Right ;ICD10 PCS-BD;2W0EX2Z;SAME-AS;Procedure;N/A;;;;;
;Change of Cast from Hand, Left ;;;Change: (Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane) of Cast from Hand, Left ;ICD10 PCS-BD;2W0FX2Z;SAME-AS;Procedure;N/A;;;;;
;Change of Cast from Thumb, Right ;;;Change: (Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane) of Cast from Thumb, Right ;ICD10 PCS-BD;2W0GX2Z;SAME-AS;Procedure;N/A;;;;;
;Change of Cast from Thumb, Left ;;;Change: (Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane) of Cast from Thumb, Left ;ICD10 PCS-BD;2W0HX2Z;SAME-AS;Procedure;N/A;;;;;
;Change of Cast from Finger, Right ;;;Change: (Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane) of Cast from Finger, Right ;ICD10 PCS-BD;2W0JX2Z;SAME-AS;Procedure;N/A;;;;;
;Change of Cast from Finger, Left ;;;Change: (Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane) of Cast from Finger, Left ;ICD10 PCS-BD;2W0KX2Z;SAME-AS;Procedure;N/A;;;;;
;Change of Cast from Lower Extremity, Right ;;;Change: (Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane) of Cast from Lower Extremity, Right ;ICD10 PCS-BD;2W0LX2Z;SAME-AS;Procedure;N/A;;;;;
;Change of Cast from Lower Extremity, Left ;;;Change: (Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane) of Cast from Lower Extremity, Left ;ICD10 PCS-BD;2W0MX2Z;SAME-AS;Procedure;N/A;;;;;
;Change of Cast from Upper Leg, Right;;;Change: (Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane) of Cast from Upper Leg, Right;ICD10 PCS-BD;2W0NX2Z;SAME-AS;Procedure;N/A;;;;;
;Change of Cast from Upper Leg, Left;;;Change: (Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane) of Cast from Upper Leg, Left;ICD10 PCS-BD;2W0PX2Z;SAME-AS;Procedure;N/A;;;;;
;Change of Cast from Lower Leg, Right;;;Change: (Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane) of Cast from Lower Leg, Right;ICD10 PCS-BD;2W0QX2Z;SAME-AS;Procedure;N/A;;;;;
;Change of Cast from Lower Leg, Left;;;Change: (Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane) of Cast from Lower Leg, Left;ICD10 PCS-BD;2W0RX2Z;SAME-AS;Procedure;N/A;;;;;
;Change of Cast from Foot, Right;;;Change: (Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane) of Cast from Foot, Right;ICD10 PCS-BD;2W0SX2Z;SAME-AS;Procedure;N/A;;;;;
;Change of Cast from Foot, Left;;;Change: (Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane) of Cast from Foot, Left;ICD10 PCS-BD;2W0TX2Z;SAME-AS;Procedure;N/A;;;;;
;Change of Cast from Toe, Right;;;Change: (Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane) of Cast from Toe, Right;ICD10 PCS-BD;2W0UX2Z;SAME-AS;Procedure;N/A;;;;;
;Change of Cast from Toe, Left;;;Change: (Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane) of Cast from Toe, Left;ICD10 PCS-BD;2W0VX2Z;SAME-AS;Procedure;N/A;;;;;
;Compression on Head with Pressure Dressing;;Dressing of Head;Compression:(Putting pressure on a body region) on Head with Pressure Dressing;ICD10 PCS-BD;2W10X6Z;SAME-AS;Procedure;N/A;;;;;
;Compression on Face with Pressure Dressing;;Dressing of Face;Compression:(Putting pressure on a body region) on Face with Pressure Dressing;ICD10 PCS-BD;2W11X6Z;SAME-AS;Procedure;N/A;;;;;
;Compression on Neck with Pressure Dressing;;Pressure Dressing of Neck;Compression:(Putting pressure on a body region) on Neck with Pressure Dressing;ICD10 PCS-BD;2W12X6Z;SAME-AS;Procedure;N/A;;;;;
;Compression on Abdominal Wall with Pressure Dressing;;Pressure Dressing of Abdominal Wall;Compression:(Putting pressure on a body region) on Abdominal Wall with Pressure Dressing;ICD10 PCS-BD;2W13X6Z;SAME-AS;Procedure;N/A;;;;;
;Compression on Chest Wall with Pressure Dressing;;Pressure Dressing of Chest Wall;Compression:(Putting pressure on a body region) on Chest Wall with Pressure Dressing;ICD10 PCS-BD;2W14X6Z;SAME-AS;Procedure;N/A;;;;;
;Compression on Back with Pressure Dressing;;Pressure Dressing of Back;Compression:(Putting pressure on a body region) on Back with Pressure Dressing;ICD10 PCS-BD;2W15X6Z;SAME-AS;Procedure;N/A;;;;;
;Compression on Inguinal Region, Right with Pressure Dressing;;Pressure Dressing of Inguinal Region, Right;Compression:(Putting pressure on a body region) on Inguinal Region, Right with Pressure Dressing;ICD10 PCS-BD;2W16X6Z;SAME-AS;Procedure;N/A;;;;;
;Compression on Inguinal Region, Left with Pressure Dressing;;Pressure Dressing of Inguinal Region, Left;Compression:(Putting pressure on a body region) on Inguinal Region, Left with Pressure Dressing;ICD10 PCS-BD;2W17X6Z;SAME-AS;Procedure;N/A;;;;;
;Compression on Upper Extremity, Right with Pressure Dressing;;Pressure Dressing of Upper Extremity, Right;Compression:(Putting pressure on a body region) on Upper Extremity, Right with Pressure Dressing;ICD10 PCS-BD;2W18X6Z;SAME-AS;Procedure;N/A;;;;;
;Compression on Upper Extremity, Left with Pressure Dressing;;Pressure Dressing of Upper Extremity, Left;Compression:(Putting pressure on a body region) on Upper Extremity, Left with Pressure Dressing;ICD10 PCS-BD;2W19X6Z;SAME-AS;Procedure;N/A;;;;;
;Compression on Upper Arm, Right with Pressure Dressing;;Pressure Dressing of Upper Arm, Right;Compression:(Putting pressure on a body region) on Upper Arm, Right with Pressure Dressing;ICD10 PCS-BD;2W1AX6Z;SAME-AS;Procedure;N/A;;;;;
;Compression on Upper Arm, Left with Pressure Dressing;;Pressure Dressing of Upper Arm, Left;Compression:(Putting pressure on a body region) on Upper Arm, Left with Pressure Dressing;ICD10 PCS-BD;2W1BX6Z;SAME-AS;Procedure;N/A;;;;;
;Compression on Lower Arm, Right with Pressure Dressing;;Pressure Dressing of Lower Arm, Right;Compression:(Putting pressure on a body region) on Lower Arm, Right with Pressure Dressing;ICD10 PCS-BD;2W1CX6Z;SAME-AS;Procedure;N/A;;;;;
;Compression on Lower Arm, Left with Pressure Dressing;;Pressure Dressing of Lower Arm, Left;Compression:(Putting pressure on a body region) on Lower Arm, Left with Pressure Dressing;ICD10 PCS-BD;2W1DX6Z;SAME-AS;Procedure;N/A;;;;;
;Compression on Hand, Right with Pressure Dressing;;Pressure Dressing of Hand, Right;Compression:(Putting pressure on a body region) on Hand, Right with Pressure Dressing;ICD10 PCS-BD;2W1EX6Z;SAME-AS;Procedure;N/A;;;;;
;Compression on Hand, Left with Pressure Dressing;;Pressure Dressing of Hand, Left;Compression:(Putting pressure on a body region) on Hand, Left with Pressure Dressing;ICD10 PCS-BD;2W1FX6Z;SAME-AS;Procedure;N/A;;;;;
;Compression on Thumb, Right with Pressure Dressing;;Pressure Dressing of Thumb, Right;Compression:(Putting pressure on a body region) on Thumb, Right with Pressure Dressing;ICD10 PCS-BD;2W1GX6Z;SAME-AS;Procedure;N/A;;;;;
;Compression on Thumb, Left with Pressure Dressing;;Pressure Dressing of Thumb, Left;Compression:(Putting pressure on a body region) on Thumb, Left with Pressure Dressing;ICD10 PCS-BD;2W1HX6Z;SAME-AS;Procedure;N/A;;;;;
;Compression on Finger, Right with Pressure Dressing;;Pressure Dressing of Finger, Right;Compression:(Putting pressure on a body region) on Finger, Right with Pressure Dressing;ICD10 PCS-BD;2W1JX6Z;SAME-AS;Procedure;N/A;;;;;
;Compression on Finger, Left with Pressure Dressing;;Pressure Dressing of Finger, Left;Compression:(Putting pressure on a body region) on Finger, Left with Pressure Dressing;ICD10 PCS-BD;2W1KX6Z;SAME-AS;Procedure;N/A;;;;;
;Compression on Lower Extremity, Right with Pressure Dressing;;Pressure Dressing of Lower Extremity, Right;Compression:(Putting pressure on a body region) on Lower Extremity, Right with Pressure Dressing;ICD10 PCS-BD;2W1LX6Z;SAME-AS;Procedure;N/A;;;;;
;Compression on Lower Extremity, Left with Pressure Dressing;;Pressure Dressing of Lower Extremity, Left;Compression:(Putting pressure on a body region) on Lower Extremity, Left with Pressure Dressing;ICD10 PCS-BD;2W1MX6Z;SAME-AS;Procedure;N/A;;;;;
;Compression on Upper Leg, Right with Pressure Dressing;;Pressure Dressing of Upper Leg, Right;Compression:(Putting pressure on a body region) on Upper Leg, Right with Pressure Dressing;ICD10 PCS-BD;2W1NX6Z;SAME-AS;Procedure;N/A;;;;;
;Compression on Upper Leg, Left with Pressure Dressing;;Pressure Dressing of Upper Leg, Left;Compression:(Putting pressure on a body region) on Upper Leg, Left with Pressure Dressing;ICD10 PCS-BD;2W1PX6Z;SAME-AS;Procedure;N/A;;;;;
;Compression on Lower Leg, Right with Pressure Dressing;;Pressure Dressing of Lower Leg, Right;Compression:(Putting pressure on a body region) on Lower Leg, Right with Pressure Dressing;ICD10 PCS-BD;2W1QX6Z;SAME-AS;Procedure;N/A;;;;;
;Compression on Lower Leg, Left with Pressure Dressing;;Pressure Dressing of Lower Leg, Left;Compression:(Putting pressure on a body region) on Lower Leg, Left with Pressure Dressing;ICD10 PCS-BD;2W1RX6Z;SAME-AS;Procedure;N/A;;;;;
;Compression on Foot, Right with Pressure Dressing;;Pressure Dressing of Foot, Right;Compression:(Putting pressure on a body region) on Foot, Right with Pressure Dressing;ICD10 PCS-BD;2W1SX6Z;SAME-AS;Procedure;N/A;;;;;
;Compression on Foot,Left with Pressure Dressing;;Pressure Dressing of Foot, Left;Compression:(Putting pressure on a body region) on Foot,Left with Pressure Dressing;ICD10 PCS-BD;2W1TX6Z;SAME-AS;Procedure;N/A;;;;;
;Compression on Toe, Right with Pressure Dressing;;Pressure Dressing of Toe, Right;Compression:(Putting pressure on a body region) on Toe, Right with Pressure Dressing;ICD10 PCS-BD;2W1UX6Z;SAME-AS;Procedure;N/A;;;;;
;Compression on Toe, Left with Pressure Dressing;;Pressure Dressing of Toe, Left;Compression:(Putting pressure on a body region) on Toe, Left with Pressure Dressing;ICD10 PCS-BD;2W1VX6Z;SAME-AS;Procedure;N/A;;;;;
;Dressing on Head ;;Dressing of Head;Dressing:(Putting material on a body region for protection) on Head ;ICD10 PCS-BD;2W20X4Z;SAME-AS;Procedure;N/A;;;;;
;Dressing on Face ;;Dressing of Face;Dressing:(Putting material on a body region for protection) on Face ;ICD10 PCS-BD;2W21X4Z;SAME-AS;Procedure;N/A;;;;;
;Dressing on Neck ;;Dressing of Neck;Dressing:(Putting material on a body region for protection) on Neck ;ICD10 PCS-BD;2W22X4Z;SAME-AS;Procedure;N/A;;;;;
;Dressing on Abdominal Wall ;;Dressing of Abdominal Wall;Dressing:(Putting material on a body region for protection) on Abdominal Wall ;ICD10 PCS-BD;2W23X4Z;SAME-AS;Procedure;N/A;;;;;
;Dressing on Chest Wall ;;Dressing of Chest Wall;Dressing:(Putting material on a body region for protection) on Chest Wall ;ICD10 PCS-BD;2W24X4Z;SAME-AS;Procedure;N/A;;;;;
;Dressing on Back ;;Dressing of Back;Dressing:(Putting material on a body region for protection) on Back ;ICD10 PCS-BD;2W25X4Z;SAME-AS;Procedure;N/A;;;;;
;Dressing on Inguinal Region, Right ;;Dressing of Inguinal Region, Right;Dressing:(Putting material on a body region for protection) on Inguinal Region, Right ;ICD10 PCS-BD;2W26X4Z;SAME-AS;Procedure;N/A;;;;;
;Dressing on Inguinal Region, Left ;;Dressing of Inguinal Region, Left;Dressing:(Putting material on a body region for protection) on Inguinal Region, Left ;ICD10 PCS-BD;2W27X4Z;SAME-AS;Procedure;N/A;;;;;
;Dressing on Upper Extremity, Right ;;Dressing of Upper Extremity, Right;Dressing:(Putting material on a body region for protection) on Upper Extremity, Right ;ICD10 PCS-BD;2W28X4Z;SAME-AS;Procedure;N/A;;;;;
;Dressing on Upper Extremity, Left ;;Dressing of Upper Extremity, Left;Dressing:(Putting material on a body region for protection) on Upper Extremity, Left ;ICD10 PCS-BD;2W29X4Z;SAME-AS;Procedure;N/A;;;;;
;Dressing on Upper Arm, Right ;;Dressing of Upper Arm, Right;Dressing:(Putting material on a body region for protection) on Upper Arm, Right ;ICD10 PCS-BD;2W2AX4Z;SAME-AS;Procedure;N/A;;;;;
;Dressing on Upper Arm, Left ;;Dressing of Upper Arm, Left;Dressing:(Putting material on a body region for protection)on Upper Arm, Left ;ICD10 PCS-BD;2W2BX4Z;SAME-AS;Procedure;N/A;;;;;
;Dressing on Lower Arm, Right ;;Dressing of Lower Arm, Right;Dressing:(Putting material on a body region for protection) on Lower Arm, Right ;ICD10 PCS-BD;2W2CX4Z;SAME-AS;Procedure;N/A;;;;;
;Dressing on Lower Arm, Left ;;Dressing of Lower Arm, Left;Dressing:(Putting material on a body region for protection) on Lower Arm, Left ;ICD10 PCS-BD;2W2DX4Z;SAME-AS;Procedure;N/A;;;;;
;Dressing on Hand, Right ;;Dressing of Hand, Right;Dressing:(Putting material on a body region for protection) on Hand, Right ;ICD10 PCS-BD;2W2EX4Z;SAME-AS;Procedure;N/A;;;;;
;Dressing on Hand, Left ;;Dressing of Hand, Left;Dressing:(Putting material on a body region for protection) on Hand, Left ;ICD10 PCS-BD;2W2FX4Z;SAME-AS;Procedure;N/A;;;;;
;Dressing on Thumb, Right ;;Dressing of Thumb, Right;Dressing:(Putting material on a body region for protection) on Thumb, Right ;ICD10 PCS-BD;2W2GX4Z;SAME-AS;Procedure;N/A;;;;;
;Dressing on Thumb, Left ;;Dressing of Thumb, Left;Dressing:(Putting material on a body region for protection) on Thumb, Left ;ICD10 PCS-BD;2W2HX4Z;SAME-AS;Procedure;N/A;;;;;
;Dressing on Finger, Right;;Dressing of Finger, Right;Dressing:(Putting material on a body region for protection) on Finger, Right ;ICD10 PCS-BD;2W2JX4Z;SAME-AS;Procedure;N/A;;;;;
;Dressing on Finger, Left ;;Dressing of Finger, Left;Dressing:(Putting material on a body region for protection) on Finger, Left ;ICD10 PCS-BD;2W2KX4Z;SAME-AS;Procedure;N/A;;;;;
;Dressing on Lower Extremity, Right ;;Dressing of Lower Extremity, Right;Dressing:(Putting material on a body region for protection) on Lower Extremity, Right ;ICD10 PCS-BD;2W2LX4Z;SAME-AS;Procedure;N/A;;;;;
;Dressing on Lower Extremity, Left ;;Dressing of Lower Extremity, Left;Dressing:(Putting material on a body region for protection) on Lower Extremity, Left ;ICD10 PCS-BD;2W2MX4Z;SAME-AS;Procedure;N/A;;;;;
;Dressing on Upper Leg, Right ;;Dressing of Upper Leg, Right;Dressing:(Putting material on a body region for protection) on Upper Leg, Right ;ICD10 PCS-BD;2W2NX4Z;SAME-AS;Procedure;N/A;;;;;
;Dressing on Upper Leg, Left ;;Dressing of Upper Leg, Left;Dressing:(Putting material on a body region for protection) on Upper Leg, Left ;ICD10 PCS-BD;2W2PX4Z;SAME-AS;Procedure;N/A;;;;;
;Dressing on Lower Leg, Right ;;Dressing of Lower Leg, Right;Dressing:(Putting material on a body region for protection) on Lower Leg, Right ;ICD10 PCS-BD;2W2QX4Z;SAME-AS;Procedure;N/A;;;;;
;Dressing on Lower Leg, Left ;;Dressing of Lower Leg, Left;Dressing:(Putting material on a body region for protection) on Lower Leg, Left ;ICD10 PCS-BD;2W2RX4Z;SAME-AS;Procedure;N/A;;;;;
;Dressing on Foot, Right ;;Dressing of Foot, Right;Dressing:(Putting material on a body region for protection) on Foot, Right ;ICD10 PCS-BD;2W2SX4Z;SAME-AS;Procedure;N/A;;;;;
;Dressing on Foot,Left ;;Dressing of Foot, Left;Dressing:(Putting material on a body region for protection) on Foot,Left ;ICD10 PCS-BD;2W2TX4Z;SAME-AS;Procedure;N/A;;;;;
;Dressing on Toe, Right ;;Dressing of Toe, Right;Dressing:(Putting material on a body region for protection) on Toe, Right ;ICD10 PCS-BD;2W2UX4Z;SAME-AS;Procedure;N/A;;;;;
;Dressing on Toe, Left ;;Dressing of Toe, Left;Dressing:(Putting material on a body region for protection) on Toe, Left ;ICD10 PCS-BD;2W2VX4Z;SAME-AS;Procedure;N/A;;;;;
;Immobilization of Head with Splint ;;;Immobilization:(Limiting or preventing motion of a body region) of Head with Splint ;ICD10 PCS-BD;2W30X1Z;SAME-AS;Procedure;N/A;;;;;
;Immobilization of Neck with Splint;;;Immobilization:(Limiting or preventing motion of a body region) of Neck with Splint;ICD10 PCS-BD;2W32X1Z;SAME-AS;Procedure;N/A;;;;;
;Immobilization of Abdominal Wall with Splint ;;;Immobilization:(Limiting or preventing motion of a body region) of Abdominal Wall with Splint ;ICD10 PCS-BD;2W33X1Z;SAME-AS;Procedure;N/A;;;;;
;Immobilization of Chest Wall with Splint ;;;Immobilization:(Limiting or preventing motion of a body region) of Chest Wall with Splint ;ICD10 PCS-BD;2W34X1Z;SAME-AS;Procedure;N/A;;;;;
;Immobilization of Back with Splint ;;;Immobilization:(Limiting or preventing motion of a body region) of Back with Splint ;ICD10 PCS-BD;2W35X1Z;SAME-AS;Procedure;N/A;;;;;
;Immobilization of Inguinal Region, Right with Splint;;;Immobilization:(Limiting or preventing motion of a body region) of Inguinal Region, Right with Splint;ICD10 PCS-BD;2W36X1Z;SAME-AS;Procedure;N/A;;;;;
;Immobilization of Inguinal Region, Left with Splint;;;Immobilization:(Limiting or preventing motion of a body region) of Inguinal Region, Left with Splint;ICD10 PCS-BD;2W37X1Z;SAME-AS;Procedure;N/A;;;;;
;Immobilization of Upper Extremity, Right with Splint ;;;Immobilization:(Limiting or preventing motion of a body region) of Upper Extremity, Right with Splint ;ICD10 PCS-BD;2W38X1Z;SAME-AS;Procedure;N/A;;;;;
;Immobilization of Upper Extremity, Left with Splint ;;;Immobilization:(Limiting or preventing motion of a body region) of Upper Extremity, Left with Splint ;ICD10 PCS-BD;2W39X1Z;SAME-AS;Procedure;N/A;;;;;
;Immobilization of Upper Arm, Right with Splint;;;Immobilization:(Limiting or preventing motion of a body region) of Upper Arm, Right with Splint;ICD10 PCS-BD;2W3AX1Z;SAME-AS;Procedure;N/A;;;;;
;Immobilization of Upper Arm, Left with Splint;;;Immobilization:(Limiting or preventing motion of a body region) of Upper Arm, Left with Splint;ICD10 PCS-BD;2W3BX1Z;SAME-AS;Procedure;N/A;;;;;
;Immobilization of Lower Arm, Right with Splint ;;;Immobilization:(Limiting or preventing motion of a body region) of Lower Arm, Right with Splint ;ICD10 PCS-BD;2W3CX1Z;SAME-AS;Procedure;N/A;;;;;
;Immobilization of Lower Arm, Left with Splint;;;Immobilization:(Limiting or preventing motion of a body region) of Lower Arm, Left with Splint;ICD10 PCS-BD;2W3DX1Z;SAME-AS;Procedure;N/A;;;;;
;Immobilization of Hand, Right with Splint ;;;Immobilization:(Limiting or preventing motion of a body region) of Hand, Right with Splint ;ICD10 PCS-BD;2W3EX1Z;SAME-AS;Procedure;N/A;;;;;
;Immobilization of Hand, Left with Splint;;;Immobilization:(Limiting or preventing motion of a body region) of Hand, Left with Splint;ICD10 PCS-BD;2W3FX1Z;SAME-AS;Procedure;N/A;;;;;
;Immobilization of Thumb, Right with Splint;;;Immobilization:(Limiting or preventing motion of a body region) of Thumb, Right with Splint;ICD10 PCS-BD;2W3GX1Z;SAME-AS;Procedure;N/A;;;;;
;Immobilization of Thumb, Left with Splint;;;Immobilization:(Limiting or preventing motion of a body region) of Thumb, Left with Splint;ICD10 PCS-BD;2W3HX1Z;SAME-AS;Procedure;N/A;;;;;
;Immobilization of Finger, Right with Splint ;;;Immobilization:(Limiting or preventing motion of a body region) of Finger, Right with Splint ;ICD10 PCS-BD;2W3JX1Z;SAME-AS;Procedure;N/A;;;;;
;Immobilization of Finger, Left with Splint;;;Immobilization:(Limiting or preventing motion of a body region) of Finger, Left with Splint;ICD10 PCS-BD;2W3KX1Z;SAME-AS;Procedure;N/A;;;;;
;Immobilization of Lower Extremity, Right with Splint ;;;Immobilization:(Limiting or preventing motion of a body region) of Lower Extremity, Right with Splint ;ICD10 PCS-BD;2W3LX1Z;SAME-AS;Procedure;N/A;;;;;
;Immobilization of Lower Extremity, Left with Splint ;;;Immobilization:(Limiting or preventing motion of a body region) of Lower Extremity, Left with Splint ;ICD10 PCS-BD;2W3MX1Z;SAME-AS;Procedure;N/A;;;;;
;Immobilization of Upper Leg, Right with Splint ;;;Immobilization:(Limiting or preventing motion of a body region) of Upper Leg, Right with Splint ;ICD10 PCS-BD;2W3NX1Z;SAME-AS;Procedure;N/A;;;;;
;Immobilization of Upper Leg, Left with Splint;;;Immobilization:(Limiting or preventing motion of a body region) of Upper Leg, Left with Splint;ICD10 PCS-BD;2W3PX1Z;SAME-AS;Procedure;N/A;;;;;
;Immobilization of Lower Leg, Right with Splint ;;;Immobilization:(Limiting or preventing motion of a body region) of Lower Leg, Right with Splint ;ICD10 PCS-BD;2W3QX1Z;SAME-AS;Procedure;N/A;;;;;
;Immobilization of Lower Leg, Left with Splint ;;;Immobilization:(Limiting or preventing motion of a body region) of Lower Leg, Left with Splint ;ICD10 PCS-BD;2W3RX1Z;SAME-AS;Procedure;N/A;;;;;
;Immobilization of Foot, Right with Splint ;;;Immobilization:(Limiting or preventing motion of a body region) of Foot, Right with Splint ;ICD10 PCS-BD;2W3SX1Z;SAME-AS;Procedure;N/A;;;;;
;Immobilization of Foot,Left with Splint ;;;Immobilization:(Limiting or preventing motion of a body region) of Foot,Left with Splint ;ICD10 PCS-BD;2W3TX1Z;SAME-AS;Procedure;N/A;;;;;
;Immobilization of Toe, Right with Splint ;;;Immobilization:(Limiting or preventing motion of a body region) of Toe, Right with Splint ;ICD10 PCS-BD;2W3UX1Z;SAME-AS;Procedure;N/A;;;;;
;Immobilization of Toe, Left with Splint ;;;Immobilization:(Limiting or preventing motion of a body region) of Toe, Left with Splint ;ICD10 PCS-BD;2W3VX1Z;SAME-AS;Procedure;N/A;;;;;
;Immobilization of Head with Cast ;;;Immobilization:(Limiting or preventing motion of a body region) of Head with Cast ;ICD10 PCS-BD;2W30X2Z;SAME-AS;Procedure;N/A;;;;;
;Immobilization of Neck with Cast;;;Immobilization:(Limiting or preventing motion of a body region) of Neck with Cast;ICD10 PCS-BD;2W32X2Z;SAME-AS;Procedure;N/A;;;;;
;Immobilization of Abdominal Wall with Cast ;;;Immobilization:(Limiting or preventing motion of a body region) of Abdominal Wall with Cast ;ICD10 PCS-BD;2W33X2Z;SAME-AS;Procedure;N/A;;;;;
;Immobilization of Chest Wall with Cast ;;;Immobilization:(Limiting or preventing motion of a body region) of Chest Wall with Cast ;ICD10 PCS-BD;2W34X2Z;SAME-AS;Procedure;N/A;;;;;
;Immobilization of Back with Cast ;;;Immobilization:(Limiting or preventing motion of a body region) of Back with Cast ;ICD10 PCS-BD;2W35X2Z;SAME-AS;Procedure;N/A;;;;;
;Immobilization of Inguinal Region, Right with Cast;;;Immobilization:(Limiting or preventing motion of a body region) of Inguinal Region, Right with Cast;ICD10 PCS-BD;2W36X2Z;SAME-AS;Procedure;N/A;;;;;
;Immobilization of Inguinal Region, Left with Cast;;;Immobilization:(Limiting or preventing motion of a body region) of Inguinal Region, Left with Cast;ICD10 PCS-BD;2W37X2Z;SAME-AS;Procedure;N/A;;;;;
;Immobilization of Upper Extremity, Right with Cast ;;Plaster Upper Extremity, Right;Immobilization:(Limiting or preventing motion of a body region) of Upper Extremity, Right with Cast ;ICD10 PCS-BD;2W38X2Z;SAME-AS;Procedure;N/A;;;;;
;Immobilization of Upper Extremity, Left with Cast ;;Plaster Upper Extremity, Left;Immobilization:(Limiting or preventing motion of a body region) of Upper Extremity, Left with Cast ;ICD10 PCS-BD;2W39X2Z;SAME-AS;Procedure;N/A;;;;;
;Immobilization of Upper Arm, Right with Cast;;Plaster Upper Arm, Right;Immobilization:(Limiting or preventing motion of a body region) of Upper Arm, Right with Cast;ICD10 PCS-BD;2W3AX2Z;SAME-AS;Procedure;N/A;;;;;
;Immobilization of Upper Arm, Left with Cast;;Plaster Upper Arm, Left;Immobilization:(Limiting or preventing motion of a body region) of Upper Arm, Left with Cast;ICD10 PCS-BD;2W3BX2Z;SAME-AS;Procedure;N/A;;;;;
;Immobilization of Lower Arm, Right with Cast ;;Plaster Lower Arm, Right;Immobilization:(Limiting or preventing motion of a body region) of Lower Arm, Right with Cast ;ICD10 PCS-BD;2W3CX2Z;SAME-AS;Procedure;N/A;;;;;
;Immobilization of Lower Arm, Left with Cast;;Plaster Lower Arm, Left;Immobilization:(Limiting or preventing motion of a body region) of Lower Arm, Left with Cast;ICD10 PCS-BD;2W3DX2Z;SAME-AS;Procedure;N/A;;;;;
;Immobilization of Hand, Right with Cast ;;Plaster Hand, Right;Immobilization:(Limiting or preventing motion of a body region) of Hand, Right with Cast ;ICD10 PCS-BD;2W3EX2Z;SAME-AS;Procedure;N/A;;;;;
;Immobilization of Hand, Left with Cast;;Plaster Hand, Left;Immobilization:(Limiting or preventing motion of a body region) of Hand, Left with Cast;ICD10 PCS-BD;2W3FX2Z;SAME-AS;Procedure;N/A;;;;;
;Immobilization of Thumb, Right with Cast;;Plaster Thumb, Right;Immobilization:(Limiting or preventing motion of a body region) of Thumb, Right with Cast;ICD10 PCS-BD;2W3GX2Z;SAME-AS;Procedure;N/A;;;;;
;Immobilization of Thumb, Left with Cast;;Plaster Thumb, Left ;Immobilization:(Limiting or preventing motion of a body region) of Thumb, Left with Cast;ICD10 PCS-BD;2W3HX2Z;SAME-AS;Procedure;N/A;;;;;
;Immobilization of Finger, Right with Cast ;;Plaster Finger, Right ;Immobilization:(Limiting or preventing motion of a body region) of Finger, Right with Cast ;ICD10 PCS-BD;2W3JX2Z;SAME-AS;Procedure;N/A;;;;;
